translation_key,priority,scope,layer_id,source_file,feature_ids,field,target_field,original_ko,auto_en,review_en,needs_review,auto_method,occurrences,context_hanja,context_name,context_type
feature:a5ef4745a29d,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_009,현재 위치 기초 단위,present_locality_en,푸톈시_리청구,"Chengxiang District, Putian City","Chengxiang District, Putian City",yes,reverse_geocode_osm_nominatim,1,興化府,흥화부,행정 지명(치소)
value:42f1f9d44e77,context,present_region,ad_ja_points,ad_ja_points.geojson,AD_JA_034; AD_JA_035; AD_JA_036; AD_JA_037; AD_JA_045; TS_013,현재 위치 광역 단위,present_region_en,중국_안후이성,China_Anhui Province,China_Anhui Province,yes,exact_map,6,蕪湖縣,무호현,행정 지명(치소)
value:b5536bc29da4,context,present_region,ad_ja_points,ad_ja_points.geojson,AD_JD_076; AD_JD_077,현재 위치 광역 단위,present_region_en,중국_베이징시,China_Beijing Municipality,China_Beijing Municipality,yes,exact_map,2,良鄕縣,양향현,행정 지명(치소)
value:96a10f751ca7,context,present_region,ad_ja_points,ad_ja_points.geojson,AD_JA_005; AD_JA_006; AD_JA_007; AD_JA_008; AD_JA_009; AD_JA_010; AD_JA_012; AD_JA_013; AD_JA_014; AD_JA_015; AD_JA_016; AD_JA_017,현재 위치 광역 단위,present_region_en,중국_푸젠성,China_Fujian Province,China_Fujian Province,yes,exact_map,23,同安縣,동안현,행정 지명(치소)
value:c8859db49eed,context,present_region,ad_ja_points,ad_ja_points.geojson,AD_JA_043; WS_002,현재 위치 광역 단위,present_region_en,중국_후난성,China_Hunan Province,China_Hunan Province,yes,exact_map,2,岳州府,악주부,행정 지명(치소)
value:84c6f6172392,context,present_region,ad_ja_points,ad_ja_points.geojson,AD_JA_030; AD_JA_031; AD_JA_032; AD_JA_033; AD_JA_046; AD_JD_048; AD_JD_050; AD_JD_051; AD_JD_052; AD_JD_053; AD_JD_055; AD_JD_056,현재 위치 광역 단위,present_region_en,중국_장쑤성,China_Jiangsu Province,China_Jiangsu Province,yes,exact_map,19,無錫縣,무석현,행정 지명(치소)
value:1edab196d6e4,context,present_region,ad_ja_points,ad_ja_points.geojson,AD_JA_038; AD_JA_039; AD_JA_044; WS_001,현재 위치 광역 단위,present_region_en,중국_장시성,China_Jiangxi Province,China_Jiangxi Province,yes,exact_map,4,彭澤縣,팽택현,행정 지명(치소)
value:d65dd2aa147f,context,present_region,ad_ja_points,ad_ja_points.geojson,AD_JD_058; AD_JD_059; AD_JD_060; AD_JD_061; AD_JD_062; AD_JD_063; AD_JD_064; AD_JD_065; AD_JD_066; TS_014; TS_016; TS_018,현재 위치 광역 단위,present_region_en,중국_산둥성,China_Shandong Province,China_Shandong Province,yes,exact_map,13,郯城縣,담성현,행정 지명(치소)
value:5bad33052dc0,context,present_region,ad_ja_points,ad_ja_points.geojson,AD_JA_019; AD_JA_020; AD_JA_021; AD_JA_022; AD_JA_023; AD_JA_026; AD_JA_027; AD_JA_028; AD_JA_029; HG_005; HG_006; MS_002,현재 위치 광역 단위,present_region_en,중국_저장성,"China_Zhejiang Province","China_Zhejiang Province",yes,exact_map,15,江山縣,강산현,행정 지명(치소)
feature:a608edf430cd,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_036,현재 위치 기초 단위,present_locality_en,안칭시_다관구,"Daguan District, Anqing City","Daguan District, Anqing City",yes,reverse_geocode_osm_nominatim,1,安慶府,안경부,행정 지명(치소)
feature:7e6f545ea605,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_032,현재 위치 기초 단위,present_locality_en,전장시_단양시,"Danyang City, Zhenjiang City","Danyang City, Zhenjiang City",yes,reverse_geocode_osm_nominatim,1,丹陽縣,단양현,행정 지명(치소)
feature:937953647727,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JD_066,현재 위치 기초 단위,present_locality_en,더저우시_더청구,"Decheng District, Dezhou City","Decheng District, Dezhou City",yes,reverse_geocode_osm_nominatim,1,德州,덕주,행정 지명(치소)
feature:15daa9996390,core,name,route_points,route_points.geojson,10,NM_KOR,name_en,하선,Disembarkation,Disembarkation,yes,exact_map,1,,하선,분기
value:11da8ee3f437,core,subtype,wg_points,wg_points.geojson,WS_006,소분류,subtype_en,부두,"Dock / Wharf","Dock / Wharf",no,exact_map,1,淸江阜,청강부,수계 지명
feature:4529ec5eb37b,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JD_077,현재 위치 기초 단위,present_locality_en,시청구,"Dongcheng District","Dongcheng District",yes,reverse_geocode_osm_nominatim,1,北京,북경,행정 지명(치소)
feature:959edf47b16a,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_037,현재 위치 기초 단위,present_locality_en,츠저우시_둥즈현,"Dongzhi County, Chizhou City","Dongzhi County, Chizhou City",yes,reverse_geocode_osm_nominatim,1,東流縣,동류현,행정 지명(치소)
feature:4779eb280b12,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_004,현재 위치 기초 단위,present_locality_en,타이난시_베이구,"East District, Tainan City","East District, Tainan City",yes,reverse_geocode_osm_nominatim,1,臺灣府,대만부,행정 지명(치소)
value:c5924ac0c252,core,subtype,hg_points,hg_points.geojson,HG_002,소분류,subtype_en,교육시설,"Educational Site","Educational Site",no,exact_map,1,同安縣學,동안현학,인문 지명
feature:07f7964a82b6,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JD_076,현재 위치 기초 단위,present_locality_en,팡산구,"Fangshan District","Fangshan District",yes,reverse_geocode_osm_nominatim,1,良鄕縣,양향현,행정 지명(치소)
feature:fac279d8c4bd,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JD_068,현재 위치 기초 단위,present_locality_en,헝수이시_푸청현,"Fucheng County, Hengshui City","Fucheng County, Hengshui City",yes,reverse_geocode_osm_nominatim,1,阜城縣,부성현,행정 지명(치소)
feature:f0cc95cbbbb2,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_010,현재 위치 기초 단위,present_locality_en,푸저우시_푸칭시,"Fuqing City, Fuzhou City","Fuqing City, Fuzhou City",yes,reverse_geocode_osm_nominatim,1,福淸縣,복청현,행정 지명(치소)
feature:a3bef57b0d75,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_026,현재 위치 기초 단위,present_locality_en,항저우시_푸양구,"Fuyang District, Hangzhou City","Fuyang District, Hangzhou City",yes,reverse_geocode_osm_nominatim,1,富陽縣,부양현,행정 지명(치소)
feature:33a6492a85c7,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JD_074,현재 위치 기초 단위,present_locality_en,바오딩시_가오베이뎬시,"Gaobeidian City, Baoding City","Gaobeidian City, Baoding City",yes,reverse_geocode_osm_nominatim,1,新城縣,신성현,행정 지명(치소)
feature:8119875a1d89,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JD_050,현재 위치 기초 단위,present_locality_en,양저우시_가오유시,"Gaoyou City, Yangzhou City","Gaoyou City, Yangzhou City",yes,reverse_geocode_osm_nominatim,1,高郵州,고우주,행정 지명(치소)
value:29dc2382bfe9,core,subtype,tg_points,tg_points.geojson,TS_012,소분류,subtype_en,관문,"Gate / Customs Pass","Gate / Customs Pass",no,exact_map,1,北新關,북신관,교통 지명
feature:339cd437209b,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_027,현재 위치 기초 단위,present_locality_en,항저우시_샤청구,"Gongshu District, Hangzhou City","Gongshu District, Hangzhou City",yes,reverse_geocode_osm_nominatim,1,杭州府,항주부,행정 지명(치소)
feature:3642ddbeae15,context,present_locality,hg_points,hg_points.geojson,HG_006,현재 위치 기초 단위,present_locality_en,항저우시_궁수구,"Gongshu District, Hangzhou City","Gongshu District, Hangzhou City",yes,reverse_geocode_osm_nominatim,1,大善寺,대선사,인문 지명
feature:57b006de674b,context,present_locality,tg_points,tg_points.geojson,TS_012,현재 위치 기초 단위,present_locality_en,항저우시_궁수구,"Gongshu District, Hangzhou City","Gongshu District, Hangzhou City",yes,reverse_geocode_osm_nominatim,1,北新關,북신관,교통 지명
value:b44b438710f4,optional,layer_title,canal_lines,canal_lines.geojson,canal_lines:0; canal_lines:1; canal_lines:2,_layer_title,layer_title_en,운하,"Grand Canal","Grand Canal",no,exact_map,3,杭州_鎭江,항주_진강,
feature:8ac7669e90d1,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JD_048,현재 위치 기초 단위,present_locality_en,양저우시_광링구,"Guangling District, Yangzhou City","Guangling District, Yangzhou City",yes,reverse_geocode_osm_nominatim,1,江都縣,강도현,행정 지명(치소)
feature:dd9ebc5e971e,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_045,현재 위치 기초 단위,present_locality_en,츠저우시_구이츠구,"Guichi District, Chizhou City","Guichi District, Chizhou City",yes,reverse_geocode_osm_nominatim,1,池州府,지주부,행정 지명(치소)
feature:1274f2de4d57,context,present_locality,tg_points,tg_points.geojson,TS_013,현재 위치 기초 단위,present_locality_en,츠저우시_구이츠구,"Guichi District, Chizhou City","Guichi District, Chizhou City",yes,reverse_geocode_osm_nominatim,1,池口馹,지구일,교통 지명
feature:f08f2aa006ef,context,present_locality,hg_points,hg_points.geojson,HG_003,현재 위치 기초 단위,present_locality_en,푸저우시_구러우구,"Gulou District, Fuzhou City","Gulou District, Fuzhou City",yes,reverse_geocode_osm_nominatim,1,法海寺,법해사,인문 지명
feature:ecda4d8d2139,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_046,현재 위치 기초 단위,present_locality_en,쑤저우시_구쑤구,"Gusu District, Suzhou City","Gusu District, Suzhou City",yes,reverse_geocode_osm_nominatim,1,蘇州府,소주부,행정 지명(치소)
feature:b120a50925c3,context,present_locality,hg_points,hg_points.geojson,HG_008,현재 위치 기초 단위,present_locality_en,쑤저우시_구쑤구,"Gusu District, Suzhou City","Gusu District, Suzhou City",yes,reverse_geocode_osm_nominatim,1,虎邱寺,호구사,인문 지명
feature:b336c0527d85,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_014,현재 위치 기초 단위,present_locality_en,닝더시_구톈현,"Gutian County, Ningde City","Gutian County, Ningde City",yes,reverse_geocode_osm_nominatim,1,水口鎭,수구진,특수행정 지명
feature:2a14d2353168,context,present_locality,tg_points,tg_points.geojson,TS_003,현재 위치 기초 단위,present_locality_en,닝더시_구톈현,"Gutian County, Ningde City","Gutian County, Ningde City",yes,reverse_geocode_osm_nominatim,1,黃田驛,황전역,교통 지명
feature:0a7e0898ec20,core,name,canal_lines,canal_lines.geojson,canal_lines:0,NM_KOR,name_en,항주_진강,Hangzhou_Zhenjiang,Hangzhou_Zhenjiang,yes,exact_map,1,杭州_鎭江,항주_진강,
feature:ead4bd00d586,core,name,canal_lines,canal_lines.geojson,canal_lines:2,NM_KOR,name_en,회하_천진,"Huai River_Tianjin","Huai River_Tianjin",yes,exact_map,1,淮河_天津,회하_천진,
feature:2a27b9a31c96,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JD_053,현재 위치 기초 단위,present_locality_en,화이안시_화이안구,"Huai'an District, Huai'an City","Huai'an District, Huai'an City",yes,reverse_geocode_osm_nominatim,1,山陽縣,산양현,행정 지명(치소)
feature:50403d33c3e5,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JD_055,현재 위치 기초 단위,present_locality_en,화이안시_화이안구,"Huaiyin District, Huai'an City","Huaiyin District, Huai'an City",yes,reverse_geocode_osm_nominatim,1,王家營鎭,왕가영진,특수행정 지명
feature:08c1e01ee9f9,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_040,현재 위치 기초 단위,present_locality_en,황강시_황저우구,"Huangzhou District, Huanggang City","Huangzhou District, Huanggang City",yes,reverse_geocode_osm_nominatim,1,黃州府,황주부,행정 지명(치소)
feature:41f33327640b,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_008,현재 위치 기초 단위,present_locality_en,취안저우시_후이안현,"Hui'an County, Quanzhou City","Hui'an County, Quanzhou City",yes,reverse_geocode_osm_nominatim,1,惠安縣,혜안현,행정 지명(치소)
feature:fe4056a907fd,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_044,현재 위치 기초 단위,present_locality_en,주장시_후커우현,"Hukou County, Jiujiang City","Hukou County, Jiujiang City",yes,reverse_geocode_osm_nominatim,1,湖口縣,호구현,행정 지명(치소)
value:06eb5d324f40,optional,layer_title,hg_points,hg_points.geojson,HG_001; HG_002; HG_003; HG_005; HG_006; HG_007; HG_008; HG_009; HG_010,_layer_title,layer_title_en,인문 지명,Human Geography,Human Geography,no,exact_map,9,大北門(臺灣府),대북문(대만부),인문 지명
value:b5d2e6279437,core,category,hg_points,hg_points.geojson,HG_001; HG_002; HG_003; HG_005; HG_006; HG_007; HG_008; HG_009; HG_010,대분류,major_category_en,인문 지명,"Human Geography","Human Geography",no,exact_map,9,大北門(臺灣府),대북문(대만부),인문 지명
feature:4a8aadb59ad0,context,present_locality,hg_points,hg_points.geojson,HG_009,현재 위치 기초 단위,present_locality_en,쑤저우시_구쑤구,"Huqiu District, Suzhou City","Huqiu District, Suzhou City",yes,reverse_geocode_osm_nominatim,1,寒山寺,한산사,인문 지명
feature:e255f68078cd,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_016,현재 위치 기초 단위,present_locality_en,난핑시_젠어우시,"Jian'ou City, Nanping City","Jian'ou City, Nanping City",yes,reverse_geocode_osm_nominatim,1,建寧府,건녕부,행정 지명(치소)
feature:196480f45819,context,present_locality,tg_points,tg_points.geojson,TS_007,현재 위치 기초 단위,present_locality_en,난핑시_젠어우시,"Jian'ou City, Nanping City","Jian'ou City, Nanping City",yes,reverse_geocode_osm_nominatim,1,太平驛,태평역,교통 지명
feature:f8c481e910fc,context,present_locality,tg_points,tg_points.geojson,TS_008,현재 위치 기초 단위,present_locality_en,난핑시_젠어우시,"Jian'ou City, Nanping City","Jian'ou City, Nanping City",yes,reverse_geocode_osm_nominatim,1,葉坊巡司,엽방순사,교통 지명
feature:641d179d4081,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_022,현재 위치 기초 단위,present_locality_en,항저우시_젠더시,"Jiande City, Hangzhou City","Jiande City, Hangzhou City",yes,reverse_geocode_osm_nominatim,1,建德縣,건덕현,행정 지명(치소)
feature:1842fa78f138,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_023,현재 위치 기초 단위,present_locality_en,항저우시_젠더시,"Jiande City, Hangzhou City","Jiande City, Hangzhou City",yes,reverse_geocode_osm_nominatim,1,嚴州府,엄주부,행정 지명(치소)
feature:1e39c529a68c,context,present_locality,mg_points,mg_points.geojson,MS_003,현재 위치 기초 단위,present_locality_en,항저우시_젠더시,"Jiande City, Hangzhou City","Jiande City, Hangzhou City",yes,reverse_geocode_osm_nominatim,1,梅嶺,매령,산계 지명
feature:e0c911ddbefd,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_019,현재 위치 기초 단위,present_locality_en,취저우시_장산시,"Jiangshan City, Quzhou City","Jiangshan City, Quzhou City",yes,reverse_geocode_osm_nominatim,1,江山縣,강산현,행정 지명(치소)
feature:cd1307f87a52,context,present_locality,mg_points,mg_points.geojson,MS_002,현재 위치 기초 단위,present_locality_en,취저우시_장산시,"Jiangshan City, Quzhou City","Jiangshan City, Quzhou City",yes,reverse_geocode_osm_nominatim,1,仙霞嶺,선하령,산계 지명
feature:da5b0bb0d8e9,context,present_locality,tg_points,tg_points.geojson,TS_011,현재 위치 기초 단위,present_locality_en,취저우시_장산시,"Jiangshan City, Quzhou City","Jiangshan City, Quzhou City",yes,reverse_geocode_osm_nominatim,1,峽口站,협구참,교통 지명
feature:a12f3a6c6325,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_017,현재 위치 기초 단위,present_locality_en,난핑시_젠양구,"Jianyang District, Nanping City","Jianyang District, Nanping City",yes,reverse_geocode_osm_nominatim,1,建陽縣,건양현,행정 지명(치소)
feature:200e220f6228,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_042,현재 위치 기초 단위,present_locality_en,셴닝시_자위현,"Jiayu County, Xianning City","Jiayu County, Xianning City",yes,reverse_geocode_osm_nominatim,1,嘉魚縣,가어현,행정 지명(치소)
feature:0e5789045a6d,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_012,현재 위치 기초 단위,present_locality_en,푸저우시_구러우구,"Jin'an District, Fuzhou City","Jin'an District, Fuzhou City",yes,reverse_geocode_osm_nominatim,1,福建省,복건성,행정 지명(치소)
feature:e9f8b1306318,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JD_067,현재 위치 기초 단위,present_locality_en,헝수이시_징현,"Jing County, Hengshui City","Jing County, Hengshui City",yes,reverse_geocode_osm_nominatim,1,景州,경주,행정 지명(치소)
feature:a064f10365f0,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_034,현재 위치 기초 단위,present_locality_en,우후시_징후구,"Jinghu District, Wuhu City","Jinghu District, Wuhu City",yes,reverse_geocode_osm_nominatim,1,蕪湖縣,무호현,행정 지명(치소)
value:a1c1625fe80c,core,category,ad_ja_points,ad_ja_points.geojson,AD_JA_001; AD_JA_002; AD_JA_003; AD_JA_006; AD_JA_014; AD_JD_055; AD_JD_056,대분류,major_category_en,특수행정 지명,"Jurisdictional Agency","Jurisdictional Agency",no,exact_map,7,東衛,동위,특수행정 지명
feature:49009c2702a8,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_020,현재 위치 기초 단위,present_locality_en,취저우시_커청구,"Kecheng District, Quzhou City","Kecheng District, Quzhou City",yes,reverse_geocode_osm_nominatim,1,衢州府,구주부,행정 지명(치소)
value:e065f60ec7f3,optional,layer_title,route_points,route_points.geojson,1; 2; 3; 4; 5; 6; 7; 9; 10; 8,_layer_title,layer_title_en,주요 지점,Key Stops,Key Stops,no,exact_map,10,,표착지,표착지
value:54c2e7ee2d13,core,subtype,wg_points,wg_points.geojson,WS_002; WS_004,소분류,subtype_en,호수,Lake,Lake,no,exact_map,2,洞庭湖,동정호,수계 지명
feature:d80c77d7a3bb,core,name,route_points,route_points.geojson,1,NM_KOR,name_en,표착지,Landfall,Landfall,yes,exact_map,1,,표착지,표착지
value:17f3b871b325,core,type,route_points,route_points.geojson,1,TYPE_NAME,type_en,표착지,"Landfall","Landfall",no,exact_map,1,,표착지,표착지
feature:b40c15315a23,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JD_059,현재 위치 기초 단위,present_locality_en,린이시_란샨구,"Lanshan District, Linyi City","Lanshan District, Linyi City",yes,reverse_geocode_osm_nominatim,1,蘭山縣,난산현,행정 지명(치소)
feature:5d9a90c07812,core,name,canal_lines,canal_lines.geojson,canal_lines:1,NM_KOR,name_en,양회운하,"Lianghuai Canal","Lianghuai Canal",yes,exact_map,1,揚淮運河,양회운하,
feature:007d3f866223,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_030,현재 위치 기초 단위,present_locality_en,우시시_충안구,"Liangxi District, Wuxi City","Liangxi District, Wuxi City",yes,reverse_geocode_osm_nominatim,1,無錫縣,무석현,행정 지명(치소)
feature:b86290c8d598,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_007,현재 위치 기초 단위,present_locality_en,취안저우시_리청구,"Licheng District, Quanzhou City","Licheng District, Quanzhou City",yes,reverse_geocode_osm_nominatim,1,泉州府,천주부,행정 지명(치소)
feature:1a59a33c48c1,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_021,현재 위치 기초 단위,present_locality_en,취저우시_룽유현,"Longyou County, Quzhou City","Longyou County, Quzhou City",yes,reverse_geocode_osm_nominatim,1,龍游縣,용유현,행정 지명(치소)
feature:4fe6515a7041,context,present_locality,tg_points,tg_points.geojson,TS_001,현재 위치 기초 단위,present_locality_en,취안저우시_뤄장구,"Luojiang District, Quanzhou City","Luojiang District, Quanzhou City",yes,reverse_geocode_osm_nominatim,1,洛陽橋,낙양교,교통 지명
feature:3e6760af5d3c,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_001,현재 위치 기초 단위,present_locality_en,펑후현_마궁시,"Magong City, Penghu County","Magong City, Penghu County",yes,reverse_geocode_osm_nominatim,1,東衛,동위,특수행정 지명
feature:f5019620030b,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_002,현재 위치 기초 단위,present_locality_en,펑후현_마궁시,"Magong City, Penghu County","Magong City, Penghu County",yes,reverse_geocode_osm_nominatim,1,媽宮,마궁,특수행정 지명
feature:de4fb3f157fc,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JA_003,현재 위치 기초 단위,present_locality_en,펑후현_마궁시,"Magong City, Penghu County","Magong City, Penghu County",yes,reverse_geocode_osm_nominatim,1,協鎭衙門,협진아문,특수행정 지명
feature:eb4091640f73,context,present_locality,ad_ja_points,ad_ja_points.geojson,AD_JD_060,현재 위치 기초 단위,present_locality_en,린이시_멍인현,"Mengyin County, Linyi City","Mengyin County, Linyi City",yes,reverse_geocode_osm_nominatim,1,蒙陰縣,몽음현,행정 지명(치소)
value:f7ce3882f2b1,core,subtype,ad_ja_points,ad_ja_points.geojson,AD_JA_014; AD_JD_055,소분류,subtype_en,군사시설,"Military Facility","Military Facility",no,exact_map,2,水口鎭,수구진,특수행정 지명
feature:2f486ef1760b,context,present_locality,tg_points,tg_points.geojson,TS_002,현재 위치 기초 단위,present_locality_en,푸저우시_민허우현,"Minhou County, Fuzhou City","Minhou County, Fuzhou City",yes,reverse_geocode_osm_nominatim,1,黃津橋,황진교,교통 지명
